pcak,k,mode,opa,q,nms,nsel,prec,rec,nvis
12,4,l1,0.50,0.65,off,7160,0.4968,0.6232,3948
12,4,l1,0.50,0.65,0.9,6702,0.4935,0.6144,3682
12,4,l1,0.50,0.65,0.7,5835,0.4882,0.5966,3217
12,4,l1,0.50,0.75,off,5114,0.4933,0.5438,2836
12,4,l1,0.50,0.75,0.9,4847,0.4910,0.5379,2678
12,4,l1,0.50,0.75,0.7,4319,0.4873,0.5243,2396
12,4,l1,0.60,0.25,off,12285,0.5149,0.7580,6694
12,4,l1,0.60,0.25,0.9,11253,0.5117,0.7479,6112
12,4,l1,0.60,0.25,0.7,9483,0.5038,0.7304,5161
12,4,l1,0.60,0.40,off,9828,0.5146,0.6970,5395
12,4,l1,0.60,0.40,0.9,9096,0.5123,0.6890,4976
12,4,l1,0.60,0.40,0.7,7799,0.5067,0.6719,4270
12,4,l1,0.60,0.55,off,7371,0.5130,0.6299,4070
12,4,l1,0.60,0.55,0.9,6898,0.5106,0.6242,3791
12,4,l1,0.60,0.55,0.7,6008,0.5061,0.6088,3309
12,4,l1,0.60,0.65,off,5733,0.5148,0.5744,3157
12,4,l1,0.60,0.65,0.9,5417,0.5102,0.5697,2971
12,4,l1,0.60,0.65,0.7,4805,0.5050,0.5567,2638
12,4,l1,0.60,0.75,off,4095,0.5149,0.4989,2278
12,4,l1,0.60,0.75,0.9,3907,0.5135,0.4956,2165
12,4,l1,0.60,0.75,0.7,3548,0.5074,0.4849,1976
12,4,l1,0.70,0.25,off,9835,0.5325,0.7077,5346
12,4,l1,0.70,0.25,0.9,9104,0.5290,0.6991,4926
12,4,l1,0.70,0.25,0.7,7843,0.5200,0.6814,4247
12,4,l1,0.70,0.40,off,7868,0.5295,0.6463,4307
12,4,l1,0.70,0.40,0.9,7351,0.5265,0.6398,4005
12,4,l1,0.70,0.40,0.7,6422,0.5212,0.6225,3500
12,4,l1,0.70,0.55,off,5901,0.5271,0.5799,3235
12,4,l1,0.70,0.55,0.9,5556,0.5234,0.5736,3030
12,4,l1,0.70,0.55,0.7,4918,0.5183,0.5594,2686
12,4,l1,0.70,0.65,off,4590,0.5305,0.5239,2515
12,4,l1,0.70,0.65,0.9,4355,0.5259,0.5189,2374
12,4,l1,0.70,0.65,0.7,3908,0.5200,0.5067,2135
12,4,l1,0.70,0.75,off,3279,0.5292,0.4532,1810
12,4,l1,0.70,0.75,0.9,3146,0.5264,0.4498,1729
12,4,l1,0.70,0.75,0.7,2889,0.5209,0.4398,1594
12,4,l1,0.80,0.25,off,7674,0.5507,0.6374,4166
12,4,l1,0.80,0.25,0.9,7176,0.5488,0.6323,3882
12,4,l1,0.80,0.25,0.7,6290,0.5404,0.6207,3403
12,4,l1,0.80,0.40,off,6140,0.5461,0.5864,3352
12,4,l1,0.80,0.40,0.9,5777,0.5445,0.5814,3140
12,4,l1,0.80,0.40,0.7,5113,0.5400,0.5690,2784
12,4,l1,0.80,0.55,off,4605,0.5424,0.5205,2518
12,4,l1,0.80,0.55,0.9,4363,0.5396,0.5158,2376
12,4,l1,0.80,0.55,0.7,3908,0.5349,0.5039,2135
12,4,l1,0.80,0.65,off,3582,0.5439,0.4667,1959
12,4,l1,0.80,0.65,0.9,3419,0.5420,0.4634,1861
12,4,l1,0.80,0.65,0.7,3112,0.5372,0.4559,1702
12,4,l1,0.80,0.75,off,2558,0.5398,0.3973,1424
12,4,l1,0.80,0.75,0.9,2463,0.5386,0.3943,1367
12,4,l1,0.80,0.75,0.7,2286,0.5350,0.3885,1279
12,5,crease,0.10,0.25,off,42663,0.4133,0.9489,23792
12,5,crease,0.10,0.25,0.9,33300,0.4131,0.9343,18551
12,5,crease,0.10,0.25,0.7,21437,0.4047,0.9027,11919
12,5,crease,0.10,0.40,off,34130,0.4371,0.9069,19143
12,5,crease,0.10,0.40,0.9,27465,0.4360,0.8938,15391
12,5,crease,0.10,0.40,0.7,18303,0.4316,0.8610,10207
12,5,crease,0.10,0.55,off,25598,0.4471,0.8579,14437
12,5,crease,0.10,0.55,0.9,21400,0.4461,0.8427,12038
12,5,crease,0.10,0.55,0.7,15045,0.4430,0.8121,8434
12,5,crease,0.10,0.65,off,19910,0.4458,0.8085,11266
12,5,crease,0.10,0.65,0.9,17057,0.4458,0.7911,9628
12,5,crease,0.10,0.65,0.7,12592,0.4431,0.7627,7100
12,5,crease,0.10,0.75,off,14221,0.4470,0.7440,8068
12,5,crease,0.10,0.75,0.9,12580,0.4473,0.7252,7119
12,5,crease,0.10,0.75,0.7,9797,0.4445,0.7044,5556
12,5,crease,0.30,0.25,off,23979,0.4561,0.8851,13145
12,5,crease,0.30,0.25,0.9,20521,0.4523,0.8720,11258
12,5,crease,0.30,0.25,0.7,15273,0.4419,0.8503,8376
12,5,crease,0.30,0.40,off,19184,0.4681,0.8373,10566
12,5,crease,0.30,0.40,0.9,16799,0.4646,0.8253,9247
12,5,crease,0.30,0.40,0.7,12871,0.4557,0.8008,7065
12,5,crease,0.30,0.55,off,14388,0.4715,0.7851,7989
12,5,crease,0.30,0.55,0.9,12885,0.4679,0.7736,7145
12,5,crease,0.30,0.55,0.7,10251,0.4611,0.7494,5676
12,5,crease,0.30,0.65,off,11191,0.4704,0.7330,6193
12,5,crease,0.30,0.65,0.9,10183,0.4681,0.7217,5641
12,5,crease,0.30,0.65,0.7,8369,0.4639,0.6971,4641
12,5,crease,0.30,0.75,off,7993,0.4712,0.6547,4440
12,5,crease,0.30,0.75,0.9,7400,0.4679,0.6441,4112
12,5,crease,0.30,0.75,0.7,6317,0.4654,0.6247,3514
12,5,crease,0.50,0.25,off,15342,0.4931,0.7992,8370
12,5,crease,0.50,0.25,0.9,13672,0.4881,0.7888,7453
12,5,crease,0.50,0.25,0.7,10922,0.4729,0.7649,5948
12,5,crease,0.50,0.40,off,12273,0.4986,0.7516,6744
12,5,crease,0.50,0.40,0.9,11144,0.4945,0.7427,6114
12,5,crease,0.50,0.40,0.7,9127,0.4825,0.7210,4992
12,5,crease,0.50,0.55,off,9205,0.4944,0.6871,5091
12,5,crease,0.50,0.55,0.9,8494,0.4912,0.6781,4690
12,5,crease,0.50,0.55,0.7,7146,0.4816,0.6576,3942
12,5,crease,0.50,0.65,off,7160,0.4946,0.6361,3954
12,5,crease,0.50,0.65,0.9,6684,0.4912,0.6278,3686
12,5,crease,0.50,0.65,0.7,5781,0.4849,0.6092,3183
12,5,crease,0.50,0.75,off,5114,0.4959,0.5468,2836
12,5,crease,0.50,0.75,0.9,4848,0.4921,0.5399,2686
12,5,crease,0.50,0.75,0.7,4292,0.4873,0.5276,2382
12,5,crease,0.60,0.25,off,12285,0.5150,0.7557,6701
12,5,crease,0.60,0.25,0.9,11089,0.5097,0.7468,6036
12,5,crease,0.60,0.25,0.7,9112,0.4955,0.7275,4941
12,5,crease,0.60,0.40,off,9828,0.5161,0.7011,5403
12,5,crease,0.60,0.40,0.9,9038,0.5123,0.6946,4954
12,5,crease,0.60,0.40,0.7,7596,0.5019,0.6751,4147
12,5,crease,0.60,0.55,off,7371,0.5112,0.6418,4079
12,5,crease,0.60,0.55,0.9,6866,0.5071,0.6346,3792
12,5,crease,0.60,0.55,0.7,5914,0.4964,0.6170,3258
12,5,crease,0.60,0.65,off,5733,0.5124,0.5866,3164
12,5,crease,0.60,0.65,0.9,5391,0.5070,0.5797,2970
12,5,crease,0.60,0.65,0.7,4751,0.5000,0.5646,2610
12,5,crease,0.60,0.75,off,4095,0.5207,0.5041,2273
12,5,crease,0.60,0.75,0.9,3905,0.5167,0.4989,2165
12,5,crease,0.60,0.75,0.7,3523,0.5105,0.4884,1951
12,5,crease,0.70,0.25,off,9835,0.5321,0.7057,5344
12,5,crease,0.70,0.25,0.9,9008,0.5263,0.6961,4871
12,5,crease,0.70,0.25,0.7,7562,0.5108,0.6769,4067
12,5,crease,0.70,0.40,off,7868,0.5321,0.6514,4309
12,5,crease,0.70,0.40,0.9,7325,0.5276,0.6454,3996
12,5,crease,0.70,0.40,0.7,6254,0.5139,0.6277,3395
12,5,crease,0.70,0.55,off,5901,0.5262,0.5920,3251
12,5,crease,0.70,0.55,0.9,5559,0.5226,0.5861,3053
12,5,crease,0.70,0.55,0.7,4854,0.5108,0.5705,2655
12,5,crease,0.70,0.65,off,4590,0.5302,0.5337,2534
12,5,crease,0.70,0.65,0.9,4346,0.5242,0.5267,2391
12,5,crease,0.70,0.65,0.7,3863,0.5174,0.5157,2123
12,5,crease,0.70,0.75,off,3279,0.5373,0.4577,1821
12,5,crease,0.70,0.75,0.9,3144,0.5338,0.4521,1741
12,5,crease,0.70,0.75,0.7,2860,0.5291,0.4429,1582
12,5,crease,0.80,0.25,off,7674,0.5504,0.6391,4177
12,5,crease,0.80,0.25,0.9,7082,0.5456,0.6313,3837
12,5,crease,0.80,0.25,0.7,6061,0.5328,0.6127,3268
12,5,crease,0.80,0.40,off,6140,0.5472,0.5905,3364
12,5,crease,0.80,0.40,0.9,5753,0.5436,0.5857,3139
12,5,crease,0.80,0.40,0.7,5004,0.5316,0.5687,2721
12,5,crease,0.80,0.55,off,4605,0.5401,0.5289,2527
12,5,crease,0.80,0.55,0.9,4360,0.5358,0.5242,2386
12,5,crease,0.80,0.55,0.7,3873,0.5262,0.5084,2117
12,5,crease,0.80,0.65,off,3582,0.5429,0.4748,1983
12,5,crease,0.80,0.65,0.9,3420,0.5372,0.4701,1888
12,5,crease,0.80,0.65,0.7,3089,0.5295,0.4602,1709
12,5,crease,0.80,0.75,off,2558,0.5455,0.3987,1423
12,5,crease,0.80,0.75,0.9,2466,0.5411,0.3939,1369
12,5,crease,0.80,0.75,0.7,2277,0.5344,0.3857,1264
12,5,l1,0.10,0.25,off,42663,0.4169,0.9482,23812
12,5,l1,0.10,0.25,0.9,33240,0.4176,0.9346,18525
12,5,l1,0.10,0.25,0.7,21283,0.4109,0.8996,11827
12,5,l1,0.10,0.40,off,34130,0.4407,0.9011,19179
12,5,l1,0.10,0.40,0.9,27368,0.4409,0.8880,15360
12,5,l1,0.10,0.40,0.7,18077,0.4361,0.8529,10085
12,5,l1,0.10,0.55,off,25598,0.4468,0.8369,14489
12,5,l1,0.10,0.55,0.9,21215,0.4470,0.8171,11975
12,5,l1,0.10,0.55,0.7,14728,0.4447,0.7857,8277
12,5,l1,0.10,0.65,off,19910,0.4472,0.7882,11295
12,5,l1,0.10,0.65,0.9,16830,0.4491,0.7682,9533
12,5,l1,0.10,0.65,0.7,12153,0.4478,0.7411,6863
12,5,l1,0.10,0.75,off,14221,0.4442,0.7204,8073
12,5,l1,0.10,0.75,0.9,12409,0.4450,0.7026,7039
12,5,l1,0.10,0.75,0.7,9460,0.4430,0.6781,5350
12,5,l1,0.30,0.25,off,23979,0.4600,0.8833,13164
12,5,l1,0.30,0.25,0.9,20469,0.4558,0.8709,11242
12,5,l1,0.30,0.25,0.7,15167,0.4447,0.8460,8326
12,5,l1,0.30,0.40,off,19184,0.4697,0.8322,10616
12,5,l1,0.30,0.40,0.9,16680,0.4673,0.8188,9226
12,5,l1,0.30,0.40,0.7,12700,0.4568,0.7949,7003
12,5,l1,0.30,0.55,off,14388,0.4714,0.7681,7987
12,5,l1,0.30,0.55,0.9,12774,0.4697,0.7524,7077
12,5,l1,0.30,0.55,0.7,10051,0.4617,0.7253,5568
12,5,l1,0.30,0.65,off,11191,0.4705,0.7124,6220
12,5,l1,0.30,0.65,0.9,10073,0.4666,0.6989,5589
12,5,l1,0.30,0.65,0.7,8163,0.4621,0.6746,4537
12,5,l1,0.30,0.75,off,7993,0.4726,0.6425,4440
